indefArt	an a 
swear	retard retards dammit asswipe dumbest jackass fuck friggin mfs fuckboy fuckboys pussy pussys pussies lmao halfass halfassed halfassing prick pricks douche douchebag douchebags mf dtf whore whores whoring wank wanking wanker wanks bitch bitches bitched bitching suck fatties tits darn fucktard bollock bollocks af shit shite shits shitting shitty fuckface fuckfaced milf milfs effin hoe sonofabitch sonofabitches fucktwa fucktwats nigger niggers faggot foggots fucker fuckers arse hoes stfu crap heck wuss dumbass dumbassed dumbasses cock pussies friggin' piss pissant pissing pissed pisses dork dorks freak freaks asf idgaf boob boobs homos moron morons dumbfuck dumbfucks jeez bamf hell nigga niggas homo bullshit dickhole dickholes damn cock cocks cocksucker cocksuckers dang fuckhead crappy badass badassed badasses butt effin' ignoramus asshole assholes horseshit horseshits dicks freaking hella hoebag dickhead dickheads frigging goddam goddamn goddammit lmfao fuckin fuckin' fucking screw screws screaing cunt cunts bumfuck doofus dufus arsehole arseholes fucks dumb sucks geek geeks biatch biatches bitch dilf dilfs fag faggy damn fuckwad fuckwads fml omfg dummy wtf half-ass half-assed skank skanks screw biotch biotched dickish dickishly wussy titty effing twat twats bs dick fu butts bloody buttfuck buttfucks motherfucker motherfuckers dipshit dipshits tit dumber mofo mofos motherfuckin motherfucking bastard bastards dickwad idiot idiots asses sucked arses slut sluts fucked titties ass 

tentat	suppose temporary seems varies lotta seem depended depends wonders anytime guessing confuse mostly unsettled unsettling halfassing halfassed somewhere try depending hoping betting confusion unsure unsurely randomness lucked variable variability apparently supposes nearly disoriented kinda lots somehow maybe might've confuses doubt doubted doubting luckily randomly confusing quite approximate approximately blur blurry blurred indirect indirectly kindof someone someone's guess most hoped usually supposing undecided undecidedly feasible vaguer apprehensive apprehensively mainly hopes sometime vague confused prolly if may questioning lucky wondering hesitate hesitatingly lotof question sort alot indefinite indefinitely depend kind vagueness barely border borderline contingent contingency tentative tentatively might ambiguity ambiguous anywhere guesses luckiest overall spose trying potential potentially unclear unclearly bets wondered fuzz fuzzy chance obscure obscured obscurely unknowingly dunno dubious dubiously dubiousness sometimes random hopeful supposedly any or of unknowing pretty perhaps uncertain uncertainly uncertainty occasional occasionally hypothesis hypothetically hypothetical hazy vaguely opinion somebody somebody's seeming seemingly sorta hope mightve tryna appear puzzle puzzled puzzling unknown almost appeared guessed half-ass half-assed likely likelihood possible possibly possibility virtually wonder anyhow appearing s'pose supposed vaguest theory theoretical theoretically sortsa seemed appears luck skeptic skeptically skeptical vary unlikely unlikelihood lotsa supposition someday marginal marginally often anything luckier sorts generally undetermined hardly some assume assumed bet fairly somewhat something something's sortof shaky anyone anyone's lot unresolved hypothetical hypothetically questions option optional optionally anybody anybody's hopefully arbitrary arbitrarily mystery mysterious mysteriously practically partly typically questioned allot incomplete incompletely indecision indecisively indecisive 

differ	not excludes excluded instead opposite opposites wasn't nor excluding cant adjust adjusting adjustment rather really wasnt cannot hasnt isnt unlike exclusion exclusions notwithstanding exclude else or split splitting differ though exception whereas differential against neither havent exceptions but distinguish distinguished if hasn't dissimilar dissimilarity isn't jus versus whether ain't differed aren't however others difference differences werent aint either differently separate separation separately separates vs alternative alternatively alternatives different differs inequalities inequality version arent although haven't without despite actually nevertheless distinct distinctly  than unless weren't otherwise differing other didn't can't kinds except respective exclusively didnt apart differentiate differentiation 

discrep	oughtnt would've must'nt odd ought'nt need'nt couldnt needing oughta outstanding rather oughtn't mustnt undesired abnormal abnormally hoped shouldnt unnecessarily needn't desire desired normally should neednt lacked want wished undid hopeful would 'd inadequate inadequately mustn't hopes lack undo undoes wishing if oughtve mistake mistaken mistakenly shouldve hoping wouldnt could've needs ideal ideally couldn't regardless lacks wanted wanting need prefer preferred preferredly wishes undoing could impossible oddest besides should'nt should've wanna yearn yearning yearned odder regret regrets regretful regretfully wouldve wants couldve liability liabilities ought problem problems shouldn't unusual ought've undone lacking hopefully wouldn't needed hope expect expected expectedly unwanted wish must 

certain	precise precisely precision must'nt everytime truth truths truthful truthfully facts frankly mustnt obviously perfected guarantee guarantees guaranteed definite proof defined irrefutable irrefutably fundamental perfection completed everyone everyone's wholly truly mustve undeniabe undeniable  commitment committments promise promises promised inevitable inevitability always forever distinct distinctly distinctive total clear proving confidently definitely blatant blatantly specific invariable invariably undoubted undoubtedly never ever perfectly complete confidence specifically everything everything's specifics positivity true especially certain certainty certainly completes absolute must commits sure surely truest accurate accurately entire entirely entirety everybody everybody's apparent infallible infallibility directly nowhere purity confident perfect purely positively every unquestionable unquestioned totally implicit implicitly proved proves purest necessarily positive namely everywhere everywheres evident evidently indeed nothing definitive definitively clearly perfects necessary perfecting positives committed unambiguous unambiguously factual factually extremely explicit explicitly assured assuredly committing pure correct correctly fundamentalism fundamentally exact exactly mustn't visibly altogether pureness completely obvious fundamentals everyday fact essential must've commit particularly fundamentally all absolutely

auxverb	ain't aint am 'm are 're aren't arent be become becomes becoming been being can cannot could could've couldn't couldnt couldve did didn't didnt do does doesn't doesnt doing don't done dont gunna had hadn't hadnt has hasn't hasnt have 've haven't havent having he'd he's hes i'd i'll i'm i've id im is 's isn't isnt it'd it'll it's itd itll ive let may might might've mightve must must'nt must've mustn't mustnt mustve ought ought'nt ought've oughta oughtn't oughtnt oughtve shall shan't shant she'd she'll she's shes should should'nt should've shouldn't shouldnt shouldve that'd that'll that's thatd thatll thats there's theres they'd they'll they're they've theyd theyll theyre theyve tryna unable wanna was wasn't wasnt we'd we'll we've were weren't werent weve what's whats who'd who'll whod wholl will 'll won't wont would 'd would've wouldn't wouldnt wouldve you'd you'll you're you've youd youll youre youve 

