indefArt	a an
tentat	allot almost alot ambiguity ambiguous any anybody anyhow anyone anything anytime anywhere apparently appear appeared appearing appears apprehensive apprehensively approximate approximately arbitrarily arbitrary assume assumed barely bet bets betting blur blurred blurry border borderline chance confuse confused confuses confusing confusion contingency contingent depend depended depending depends disoriented doubt doubted doubting dubious dubiously dubiousness dunno fairly feasible fuzz fuzzy generally guess guessed guesses guessing half-ass half-assed halfassed halfassing hardly hazy hesitate hesitatingly hope hoped hopeful hopefully hopes hoping hypothesis hypothetical hypothetically if incomplete incompletely indecision indecisive indecisively indefinite indefinitely indirect indirectly kind kinda kindof likelihood likely lot lotof lots lotsa lotta luck lucked luckier luckiest luckily lucky mainly marginal marginally may maybe might mightve most mostly mysterious mysteriously mystery nearly obscure obscured obscurely occasional occasionally of often opinion option optional optionally or overall partly perhaps possibility possible possibly potential potentially practically pretty prolly puzzle puzzled puzzling question questioned questioning questions quite random randomly randomness s'pose seem seemed seeming seemingly seems shaky skeptic skeptical skeptically some somebody someday somehow someone something sometime sometimes somewhat somewhere sort sorta sortof sorts sortsa spose suppose supposed supposedly supposes supposing supposition temporary tentative tentatively theoretical theoretically theory try trying tryna typically uncertain uncertainly uncertainty unclear unclearly undecided undecidedly undetermined unknowing unknowingly unknown unlikelihood unlikely unresolved unsettled unsettling unsure unsurely usually vague vaguely vagueness vaguer vaguest variability variable varies vary virtually wonder wondered wondering wonders

differ	actually adjust adjusting adjustment against ai aint alternative alternatively alternatives although apart are arent but ca can cant despite did didnt differ differed difference differences different differential differentiate differentiation differently differing differs dissimilar dissimilarity distinct distinctly distinguish distinguished either else except exception exceptions exclude excluded excludes excluding exclusion exclusions exclusively has hasnt have havent however if inequalities inequality instead is isnt jus kinds n't neither nevertheless nor not notwithstanding opposite opposites or other others otherwise rather really respective separate separately separates separation split splitting than though unless unlike version versus vs was wasnt were werent whereas whether without

discrep	'd 've abnormal abnormally besides could couldnt couldve desire desired expect expected expectedly hope hoped hopeful hopefully hopes hoping ideal ideally if impossible inadequate inadequately lack lacked lacking lacks liabilities liability mistake mistaken mistakenly must must'nt mustnt n't na need need'nt needed needing neednt needs normally odd odder oddest ought ought'nt oughta oughtnt oughtve outstanding prefer preferred preferredly problem problems rather regardless regret regretful regretfully regrets should should'nt shouldnt shouldve undesired undid undo undoes undoing undone unnecessarily unusual unwanted wan want wanted wanting wants wish wished wishes wishing would wouldnt wouldve yearn yearned yearning

certain	's 've 're absolute absolutely accurate accurately all altogether always apparent are assured assuredly blatant blatantly certain certainly certainty clear clearly commit commitment commits committed committing committments complete completed completely completes confidence confident confidently correct correctly defined definite definitely definitive definitively directly distinct distinctive distinctly entire entirely entirety especially essential ever every everybody everyday everyone everything everytime everywhere everywheres evident evidently exact exactly explicit explicitly extremely fact facts factual factually forever frankly fundamental fundamentalism fundamentally fundamentals guarantee guaranteed guarantees implicit implicitly indeed inevitability inevitable infallibility infallible invariable invariably irrefutable irrefutably is must must'nt mustnt mustve n't namely necessarily necessary never nothing nowhere obvious obviously particularly perfect perfected perfecting perfection perfectly perfects positive positively positives positivity precise precisely precision promise promised promises proof proved proves proving pure purely pureness purest purity specific specifically specifics sure surely total totally true truest truly truth truthful truthfully truths unambiguous unambiguously undeniabe undeniable undoubted undoubtedly unquestionable unquestioned visibly wholly

auxverb	'd 'll 'm 're 's 've ai aint am are arent be become becomes becoming been being can could couldnt couldve did didnt do does doesnt doing done dont gunna had hadnt has hasnt have havent having he hes i id im is isnt it itd itll ive let may might mightve must must'nt mustnt mustve n't na not ought ought'nt oughta oughtnt oughtve sha shall shant she shes should should'nt shouldnt shouldve that thatd thatll thats there theres they theyd theyll theyre theyve tryna unable wan was wasnt we were werent weve what whats who whod wholl will wo wont would wouldnt wouldve you youd youll youre youve

